Name,Stream Count,Popularity,Length,Tempo,Loudness,Energy,Key
tuned in,0,0,2:54,125,-11.01db,52%,Fm
GO,2706,1,3:34,120,-7.56db,68%,Fm
Cmon Now!,3608,3,2:13,135,-5.10db,84%,A#m
Not Me,2343,1,3:10,126,-7.6db,71%,A#m
Insomnaic,4767,3,3:16,94,-7.20db,68%,Em
Safe,1890,1,3:01,137,-9.75db,59%,D
Hello,2770,1,3:12,140,-10.51db,55%,A#m
Waste My Time,3625,1,3:32,165,-7.85db,67%,B
Silent Thoughts,1753,1,4:10,178,-9.59db,51%,Gm
Misguided,2923,1,2:46,130,-8.64db,42%,A#
Meta!,5660,1,2:03,140,-8.12db,72%,C#m
Don't Exist,10492,1,4:05,160,-5.00db,71%,C#
Goodbye,103227,6,4:06,165,-6.73db,69%,G#
